entity_id;area;status;priority
1805925;Система.Таск-трекер;Тестирование;Высокий
1934905;Система.Таск-трекер;Закрыто;Средний
2536878;Система.Вики;Закрыто;Средний
2540151;Система.ХранениеАртефактов;Закрыто;Средний
2582366;Система.Таск-трекер;Закрыто;Средний
2623949;Система.Вики;Закрыто;Средний
2840563;Система.Таск-трекер;Закрыто;Средний
2970791;Система.Таск-трекер;Тестирование;Низкий
3027722;Система.Таск-трекер;Закрыто;Средний
3127873;Система. Движок;Закрыто;Средний
3130955;Система.ХранениеАртефактов;Закрыто;Средний
3335613;Система.Вики;Закрыто;Средний
3421421;Система.ХранениеАртефактов;Закрыто;Средний
3424881;Система.ХранениеАртефактов;Закрыто;Средний
3481977;Система.Таск-трекер;Закрыто;Средний
3482014;Система.Таск-трекер;Закрыто;Средний
3493071;Система.Вики;Закрыто;Средний
3508978;Система.Таск-трекер;Закрыто;Высокий
3533870;Система.Таск-трекер;Закрыто;Средний
3604826;Система. Движок;Тестирование;Средний
3675079;Управление релизами изменениями;Закрыто;Низкий
3681164;Система.Таск-трекер;Закрыто;Средний
3681209;Система.Таск-трекер;Закрыто;Средний
3701003;Система.Таск-трекер;Закрыто;Средний
3723915;Система.ХранениеАртефактов;Закрыто;Средний
3724161;Система.ХранениеАртефактов;Закрыто;Средний
3757374;Система.Вики;Закрыто;Средний
3828992;Система.Вики;Закрыто;Средний
3829052;Система.Вики;Закрыто;Средний
3829067;Система.Вики;Закрыто;Средний
3842914;Система.Вики;Закрыто;Средний
3864586;Система.Ошибки;Закрыто;Средний
3902314;Система. Движок;Выполнено;Средний
3907488;Система. Движок;Выполнено;Средний
3907493;Система. Движок;Создано;Средний
3910470;Система.ХранениеАртефактов;Закрыто;Средний
3969519;Система.Таск-трекер;Закрыто;Критический
3979239;Система.Таск-трекер;Закрыто;Средний
3986639;Система. Движок;Закрыто;Средний
4012062;Система.Вики;Закрыто;Средний
4022816;Система.Вики;Готово к разработке;Средний
4023424;Система.Вики;Закрыто;Средний
4060389;Система.Таск-трекер;Создано;Критический
4072962;Система.Таск-трекер;Закрыто;Средний
4075389;Система.Таск-трекер;Закрыто;Средний
4083382;Система. Движок;Закрыто;Критический
4083795;Система.Таск-трекер;Закрыто;Критический
4091652;Система. Движок;Закрыто;Высокий
4091655;Система. Движок;Закрыто;Высокий
4093617;Система. Движок;Выполнено;Средний
4093732;Система. Движок;В работе;Средний
4097038;Система.Таск-трекер;Закрыто;Средний
4103291;Система.ХранениеАртефактов;Закрыто;Средний
4117659;Система.ХранениеАртефактов;Закрыто;Средний
4117720;Система.ХранениеАртефактов;Закрыто;Средний
4176602;Система.Таск-трекер;Закрыто;Высокий
4189515;Система.Таск-трекер;Создано;Высокий
4197866;Система. Движок;Создано;Средний
