entity_id;history_property_name;history_date;history_change
3051159;Задача;1/16/24 11:53;
3051159;Связанные Задачи;1/16/24 11:53;<empty> -> isClonedBy
3051159;Связанные Задачи;1/16/24 11:53;<empty> -> PPTS-5231
3051159;Копирование;1/16/24 11:53;<empty> -> PPTS-5231
3051159;Название;1/16/24 11:53;[AQA] Язык запросов. Описать QL функции для новой интеграции с релизами -> [AQA] Обновить в тестовых сущностях поля, связанные с релизами
3051159;Исполнитель;1/16/24 11:53;<empty> -> user4090172@mail.com
3051159;Связанные Задачи;1/16/24 11:55;
3051159;;1/16/24 11:55;
3051159;Спринт;4/10/24 12:42;<empty> -> Спринт 2024.2.1.NPP Shared Sprint
3051159;Тип работ;4/10/24 12:42;Новая функциональность -> Линейная деятельность
3051159;Оценка;4/10/24 12:44;<empty> -> 28800
3051159;Спринт;4/22/24 10:37;
3051159;Спринт;4/22/24 10:37;<empty> -> Спринт 2024.2.2.NPP Shared Sprint
3051159;Спринт;5/6/24 6:59;
3051159;Спринт;5/6/24 6:59;<empty> -> Спринт 2024.2.3.NPP Shared Sprint
3051159;Спринт;5/8/24 14:19;
3051159;Спринт;5/8/24 14:19;<empty> -> Спринт 2024.2.4.NPP Shared Sprint
3051159;Спринт;5/22/24 6:26;
3051159;Спринт;5/22/24 6:26;<empty> -> Спринт 2024.2.5.NPP Shared Sprint
3051159;Владелец;5/30/24 6:40;user4079563@mail.com -> user4108781@mail.com
3051159;Спринт;6/4/24 10:10;
3051159;Спринт;6/4/24 10:10;<empty> -> Спринт 2024.2.6.NPP Shared Sprint
3051159;Спринт;6/18/24 6:21;
3051159;Спринт;6/18/24 6:21;<empty> -> Спринт 2024.3.1.NPP Shared Sprint
3051159;Исполнитель;6/25/24 13:09;user4090172@mail.com -> user4110501@mail.com
3051159;Спринт;7/3/24 6:44;
3051159;Спринт;7/3/24 6:44;<empty> -> Спринт 2024.3.2.NPP Shared Sprint
3051159;Спринт;7/18/24 6:32;
3051159;Спринт;7/18/24 6:32;<empty> -> Спринт 2024.3.3.NPP Shared Sprint
3051159;;7/31/24 8:58;
3051159;Спринт;7/31/24 8:58;<empty> -> Спринт 2024.3.4.NPP Shared Sprint
3051159;Связанные Задачи;7/31/24 9:00;<empty> -> isBlockedBy
3051159;Связанные Задачи;7/31/24 9:00;<empty> -> PPTS-7759
3207737;Время решения 3ЛП ФАКТ;9/3/24 9:10;<empty> -> 2024-09-03 09:10:30.663096
3207737;Время решения (ФАКТ);9/3/24 9:10;<empty> -> 2024-09-03 09:10:30.663096
3207737;Задача;2/7/24 18:29;
3207737;Связанные Задачи;2/7/24 18:29;<empty> -> isClonedBy
3207737;Связанные Задачи;2/7/24 18:29;<empty> -> PPTS-5389
3207737;Копирование;2/7/24 18:29;<empty> -> PPTS-5389
3207737;Системы обнаружения;2/7/24 18:29;<empty> -> 2064 Таск-трекер
3207737;;2/7/24 18:37;
3207737;Название;2/7/24 18:39;[FE] Структура. Некорректный запрос page с задачами после добавления/ удаления колонки на экране -> [FE] Структура. Фронт не запрашивает порцию задач с page=0 после добавления/ удаления колонки на экране
3207737;Метки;2/7/24 18:40;
3207737;Связанные Задачи;2/14/24 9:55;<empty> -> clones
3207737;Связанные Задачи;2/14/24 9:55;<empty> -> PPTS-5672
3207737;Метки;6/14/24 13:42;Таск-трекер_Структура -> Таск-трекер_urg
3207737;Метки;6/14/24 13:42;Таск-трекер_Структура -> Таск-трекер_Структура
3207737;Исполнитель;8/23/24 13:14;<empty> -> user4109409@mail.com
3207737;Статус;8/23/24 13:42;created -> analysis
3207737;Спринт;8/26/24 7:29;<empty> -> Спринт 2024.3.4.NPP Shared Sprint
