entity_id;status;priority
3051159;Создано;Средний
3207737;Закрыто;Средний
3549401;Закрыто;Средний
3826504;Закрыто;Средний
3830128;Закрыто;Средний
3836390;Закрыто;Средний
3837909;Закрыто;Средний
3907488;Выполнено;Средний
3910233;Закрыто;Средний
3982105;Закрыто;Средний
3982134;Закрыто;Средний
3992849;Закрыто;Средний
3995504;Закрыто;Низкий
4025653;Закрыто;Высокий
4026364;Закрыто;Высокий
4042153;Закрыто;Низкий
4050750;Закрыто;Низкий
4060486;Исправление;Средний
4075365;Закрыто;Средний
4089534;Закрыто;Средний
4092837;Создано;Средний
4203803;Закрыто;Средний
4209484;Тестирование;Критический
4215713;Исправление;Средний
4221177;Закрыто;Средний
4229894;Закрыто;Средний
4268216;Закрыто;Средний
4319076;Закрыто;Средний
4327047;Закрыто;Средний
4327627;Закрыто;Средний
4327681;Закрыто;Средний
4334407;Закрыто;Средний
4334839;Закрыто;Высокий
4337660;Тестирование;Высокий
4337710;Закрыто;Критический
4340645;Закрыто;Средний
4342867;Тестирование;Средний
4355712;Закрыто;Высокий
4368630;Закрыто;Средний
4377303;Закрыто;Средний
4382391;Закрыто;Средний
4403153;Закрыто;Средний
4413887;Закрыто;Средний
4455271;Закрыто;Высокий
4456149;Закрыто;Высокий
4456425;Закрыто;Высокий
4456502;Закрыто;Средний
4456970;Закрыто;Средний
4466728;Закрыто;Средний
4476153;Закрыто;Высокий
4486326;Закрыто;Средний
4486366;Закрыто;Средний
4486418;Закрыто;Средний
4486621;Закрыто;Средний
4486634;Закрыто;Средний
4486669;Закрыто;Средний
4486702;Закрыто;Средний
4486897;Закрыто;Высокий
4494618;Закрыто;Низкий
4497599;Создано;Средний
4498685;Выполнено;Высокий
4498701;Закрыто;Средний
4500830;Закрыто;Средний
4504940;Закрыто;Низкий
4505173;Закрыто;Средний
4505183;Закрыто;Средний
4505204;Закрыто;Средний
4509516;Закрыто;Средний
4509518;Закрыто;Средний
4509524;Закрыто;Средний
4509530;Закрыто;Средний
4509536;Закрыто;Средний
4509547;Закрыто;Средний
4509564;Закрыто;Средний
4509868;Закрыто;Средний
4509871;Закрыто;Высокий
4510103;Анализ;Средний
4516073;Выполнено;Средний
4522431;Закрыто;Критический
4523718;Закрыто;Критический
4524283;Создано;Средний
4537979;Создано;Средний
4573645;Закрыто;Высокий
4579094;Закрыто;Критический
4581346;Закрыто;Средний
4590283;Закрыто;Средний
4594147;Создано;Средний
4594168;Создано;Средний
4594560;Закрыто;Средний
4595317;Отклонен исполнителем;Высокий
4596004;Закрыто;Критический
4596468;Закрыто;Низкий
4599049;Закрыто;Средний
4600026;Закрыто;Средний
4600573;Тестирование;Низкий
4603867;Закрыто;Средний
4604563;Закрыто;Средний
4609089;В работе;Средний
