entity_id;history_property_name;history_date;history_change
2353124;Дата решения;9/20/24 6:00;<empty> -> 2024-09-19T15:48:16+00:00
2353124;Задача;10/5/23 7:14;
2353124;Спринт;11/21/23 11:45;
2353124;Спринт;11/21/23 11:45;<empty> -> Спринт 2023.4.6.NPP Shared Sprint
2353124;Спринт;12/5/23 14:00;
2353124;Связанные Задачи;6/17/24 15:07;<empty> -> isBlockedBy
2353124;Связанные Задачи;6/17/24 15:07;<empty> -> PPAR-7038
2353124;Связанные Задачи;6/17/24 15:07;
2353124;Связанные Задачи;6/17/24 15:21;<empty> -> childdest
2353124;Связанные Задачи;6/17/24 15:21;<empty> -> PPAR-7041
2353124;Родительская задача;6/18/24 6:30;<empty> -> PPAR-1078
2353124;Спринт;6/18/24 6:30;<empty> -> Спринт 2024.2.6.NPP Shared Sprint
2353124;Спринт;7/2/24 12:02;
2353124;Спринт;7/2/24 12:02;<empty> -> Спринт 2024.3.1.NPP Shared Sprint
2353124;Связанные Задачи;7/3/24 9:15;<empty> -> childdest
2353124;Связанные Задачи;7/3/24 9:15;<empty> -> PPAR-7403
2353124;Статус;7/16/24 10:08;created -> inProgress
2353124;Родительская задача;7/16/24 10:08;PPAR-1078 -> PPMGM-1332
2353124;Спринт;7/16/24 10:08;
2353124;Спринт;7/16/24 10:08;<empty> -> Спринт 2024.3.2.NPP Shared Sprint
2353124;Связанные Задачи;7/16/24 10:49;<empty> -> clones
2353124;Связанные Задачи;7/16/24 10:49;<empty> -> PPAR-7474
2353124;Связанные Задачи;7/16/24 10:50;<empty> -> childdest
2353124;Связанные Задачи;7/16/24 10:50;<empty> -> PPAR-7474
2353124;Связанные Задачи;7/16/24 10:50;
2353124;;7/30/24 13:09;
2353124;Спринт;7/30/24 13:09;<empty> -> Спринт 2024.3.3.NPP Shared Sprint
2353124;Связанные Задачи;7/31/24 7:03;<empty> -> clones
2353124;Связанные Задачи;7/31/24 7:03;<empty> -> PPAR-7626
